"","fastq_id","sample_ID","site","core","pre_post_thaw","id","reads","gbp","Concentration..ng.ul.","nHE","Included.In.Analysis"
"1","10","FL1C4_R6_POST_SOIL","FL","FL1C4","post","10",7348902,1.1023353,"37.9",1,FALSE
"2","10p","FL1C4_R6_PRE_SOIL","FL","FL1C4","pre","10",13376808,2.0065212,"43.8",10,TRUE
"3","11","FL1C4_R7_POST_SOIL","FL","FL1C4","post","11",42740694,6.4111041,"31.3",235,TRUE
"4","11p","FL1C4_R7_PRE_SOIL","FL","FL1C4","pre","11",198770772,29.8156158,"19.3",3827,TRUE
"5","12","FL1C4_R8_POST_SOIL","FL","FL1C4","post","12",29610538,4.4415807,"18.2",3,FALSE
"6","12p","FL1C4_R8_PRE_SOIL","FL","FL1C4","pre","12",1969410,0.2954115,"43.6",1,FALSE
"7","13","FL2C3_R5_POST_SOIL","FL","FL2C3","post","13",10573446,1.5860169,"30.3",2,FALSE
"8","13p","FL2C3_R5_PRE_SOIL","FL","FL2C3","pre","13",21118928,3.1678392,"19.6",25,TRUE
"9","14","FL2C3_R6_POST_SOIL","FL","FL2C3","post","14",40483558,6.0725337,"35.2",84,TRUE
"10","14p","FL2C3_R6_PRE_SOIL","FL","FL2C3","pre","14",56809332,8.5213998,"40.4",713,TRUE
"11","15","FL2C3_R7_POST_SOIL","FL","FL2C3","post","15",10167716,1.5251574,"30.5",463,TRUE
"12","15p","FL2C3_R7_PRE_SOIL","FL","FL2C3","pre","15",219380382,32.9070573,"50",1338,TRUE
"13","16","FL2C3_R8_POST_SOIL","FL","FL2C3","post","16",12192754,1.8289131,"42",512,TRUE
"14","16p","FL2C3_R8_PRE_SOIL","FL","FL2C3","pre","16",129109090,19.3663635,"47.2",2468,TRUE
"15","17","BEO1_R5_POST_SOIL","Utqiagvik","BEO1","post","17",44749742,6.7124613,"7.12",303,TRUE
"16","17p","BEO1_R5_PRE_SOIL","Utqiagvik","BEO1","pre","17",48809664,7.3214496,"3.65",254,TRUE
"17","18","BEO1_R6_POST_SOIL","Utqiagvik","BEO1","post","18",53561498,8.0342247,"7.86",319,TRUE
"18","18p","BEO1_R6_PRE_SOIL","Utqiagvik","BEO1","pre","18",28168206,4.2252309,"4.87",2,FALSE
"19","19","BEO1_R7_POST_SOIL","Utqiagvik","BEO1","post","19",40763510,6.1145265,"1.9",363,TRUE
"20","19p","BEO1_R7_PRE_SOIL","Utqiagvik","BEO1","pre","19",16663076,2.4994614,"3.14",5,FALSE
"21","1","AT3_R5_POST_SOIL","CRREL","AT3","post","1",58898,0.0088347,"8.74",NA,NA
"22","1p","AT3_R5_PRE_SOIL","CRREL","AT3","pre","1",36173114,5.4259671,"6.6",3,FALSE
"23","20","BEO1_R8_POST_SOIL","Utqiagvik","BEO1","post","20",11974304,1.7961456,"5.31",406,TRUE
"24","20p","BEO1_R8_PRE_SOIL","Utqiagvik","BEO1","pre","20",37408,0.0056112,"1.9",1,FALSE
"25","21","BEO2B_R5_POST_SOIL","Utqiagvik","BEO2B","post","21",3202886,0.4804329,"3.41",248,TRUE
"26","21p","BEO2B_R5_PRE_SOIL","Utqiagvik","BEO2B","pre","21",38919122,5.8378683,"4.58",102,TRUE
"27","22","BEO2B_R6_POST_SOIL","Utqiagvik","BEO2B","post","22",325150,0.0487725,"7.42",8,FALSE
"28","22p","BEO2B_R6_PRE_SOIL","Utqiagvik","BEO2B","pre","22",31120592,4.6680888,"3.78",20,TRUE
"29","23","BEO2B_R7_POST_SOIL","Utqiagvik","BEO2B","post","23",9445590,1.4168385,"3.38",728,TRUE
"30","23p","BEO2B_R7_PRE_SOIL","Utqiagvik","BEO2B","pre","23",527798,0.0791697,"11.6",6,FALSE
"31","24","BEO2B_R8_POST_SOIL","Utqiagvik","BEO2B","post","24",43299236,6.4948854,"40.9",311,TRUE
"32","24p","BEO2B_R8_PRE_SOIL","Utqiagvik","BEO2B","pre","24",43752322,6.5628483,"10.2",149,TRUE
"33","25","DNA_BLANK_1_POST_THAW_SOIL",NA,NA,"post","25",NA,NA,"0.05",218,TRUE
"34","25p","DNA_BLANK_1_PRE_THAW_SOIL",NA,NA,"pre","25",NA,NA,"too low ",NA,NA
"35","26","DNA_BLANK_2_POST_THAW_SOIL",NA,NA,"post","26",NA,NA,"too low ",158,TRUE
"36","26p","DNA_BLANK_2_PRE_THAW_SOIL",NA,NA,"pre","26",NA,NA,"too low ",NA,NA
"37","2","AT3_R6_POST_SOIL","CRREL","AT3","post","2",664324,0.0996486,"19.8",7,FALSE
"38","2p","AT3_R6_PRE_SOIL","CRREL","AT3","pre","2",2754500,0.413175,"8.64",39,TRUE
"39","3","AT3_R7_POST_SOIL","CRREL","AT3","post","3",3666696,0.5500044,"10.3",79,TRUE
"40","3p","AT3_R7_PRE_SOIL","CRREL","AT3","pre","3",86491820,12.973773,"0.085",138,TRUE
"41","4","AT3_R8_POST_SOIL","CRREL","AT3","post","4",63332514,9.4998771,"28.6",204,TRUE
"42","4p","AT3_R8_PRE_SOIL","CRREL","AT3","pre","4",62257376,9.3386064,"16.5",731,TRUE
